"Day","Weekday","Date_NO","Platform","Format","Pool","Visual_Script","Caption_NO","CTA"
"1","Tirsdag","16. juni","Instagram","Single Photo","KLINIKK","Varm naturlig foto: kvinne (30-år) i lys stue med laptop, smiler avslappet. Nedre tredjedel: terrakotta (#DF7F4D) overlay-bar med hvit Playfair Display-tekst «Legen din – hjemmefra». Neurobelle-logo øverst til høyre på nær-svart (#292420) sirkel.","Du trenger ikke forlate sofaen for å snakke med lege. 🩺  Med Neurobelle kan du booke en videokonsultasjon og få profesjonell medisinsk hjelp – trygt, raskt og på dine premisser.  Eller det dreier seg om en ny plage, oppfølging eller fornyelse av resept – vi er her for deg.","👉 Bestill time: neurobelleklinikk.com/bestill-time"
"2","Onsdag","17. juni","Google Posts","Google Post","KLINIKK","Lyst klinikk-interiør eller teamfoto (varm belysning). Arbeidersamfunnetsplass 1, Oslo. Neurobelle-logo øverst til venstre.","Neurobelle Klinikk – nevrologi, legekonsultasjon og forebyggende helsehjelp midt i Oslo sentrum.  Trenger du hjelp med migrene, skjelvinger, blodsukker eller ønsker en generell helsesjekk? Book time online – eller møt oss på Arbeidersamfunnetsplass 1, 0181 Oslo.","Book tid nå → neurobelleklinikk.com"
"3","Torsdag","18. juni","Instagram + Facebook","Reel 9:16","KLINIKK","R1 – HEALTHY LIVING REEL | Shot 1 (0–3s): Morgen, mykt sollys – close-up på hender som tar på joggesko. VO starter. | Shot 2 (3–8s): Utendørs walk langs Akerselva/park, naturlig tempo. | Shot 3 (8–13s): Kjøkken – person hakker fargerike grønnsaker (paprika, gulrot, brokkoli). | Shot 4 (13–18s): Fjelltopp/utsiktspunkt – vidt landskap, personen puster dypt, armer ut. | Shot 5 (18–22s): Neurobelle-logo på #292420 bakgrunn, terrakotta ring, tekst: «Bestill time nå». | On-screen (Shot 4–5): «Neurobelle – ta vare på helsen din» | VO: vo-scripts.md → R1 (kaviyan PRO – separat lydfil)","Kroppen din fortjener omsorg – hver dag. 🌿  En aktiv livsstil, sunt kosthold og regelmessige helsesjekker er de beste investeringene du kan gjøre for fremtiden din.  Hos Neurobelle hjelper vi deg med å ta kontroll over helsen – enten det er forebygging, utredning eller oppfølging.","✅ Neurobelle – bestill time nå: neurobelleklinikk.com/bestill-time"
"4","Fredag","19. juni","Instagram","Story","AVIDA","Mintgrønn (#DCEDE3) bakgrunn. Illustrativt kart over Norge med puls-symboler i ulike byer. Tekst: «Visste du?» (stor Montserrat) + «Du kan se lege digitalt – uansett hvor du er i Norge.» Swipe-up-pil i terrakotta.","Visste du? 🇳🇴 Du trenger ikke bo nær en spesialist for å få hjelp.  Med online legekonsultasjon hos Neurobelle kan du snakke med lege fra hvilken som helst by i landet – via video, trygt og enkelt.","Swipe opp → bestill digital konsultasjon"
"5","Lørdag","20. juni","Instagram + Facebook","Carousel","AVIDA","S1 [Hook/foto]: Mørkt soverom, person under dynen med hendene over øynene. Terrakotta tittelbar: «Migrene – mer enn bare hodepine». | S2 [Info]: Hvit slide: «Migrene er en nevrologisk lidelse. Symptomer: intens ensidig hodepine · kvalme · lys/lydfølsomhet · aura (for noen). Rammer 15% av befolkningen.» | S3 [Standout]: Fersken (#FAEADB) bg, Playfair Display stor: «Migrene er ikke bare 'vondt i hodet' – det er en medisinsk tilstand.» | S4 [Foto]: Person i dagslys, smiler rolig – etter at smerten har sluppet. | S5 [Løsning]: Mintgrønn bg: «Hva hjelper? ✔ Identifisere triggere ✔ Medikamentell behandling ✔ Forebyggende tiltak ✔ Nevrologisk utredning» | S6 [CTA]: Terrakotta, hvit Playfair: «Har du hyppig migrene? Bestill time hos Neurobelle i dag.»","Visste du at migrene er Norges vanligste nevrologiske lidelse? 🧠  Mange lever med hodepine i årevis uten å vite at det finnes effektiv behandling.  Sveip for å lære mer – og finn ut hva du kan gjøre. 👉","Slide 6: «Bestill time her» → neurobelleklinikk.com/bestill-time"
"6","Søndag","21. juni","Instagram","Story","KLINIKK","Lett klinikk-bilde. Tekst: «God søndag! 🌿 Ta et minutt for helsen din denne uken.» Poll-sticker: «Har du fått helsesjekk i år?» Svar: JA ✅ / NEI – book nå! ❌","God søndag fra Neurobelle 🌿  Helse starter med små valg – hver uke. Trenger du en sjekk? Vi er alltid tilgjengelige på nett.","Trykk på poll → eller link i bio for å bestille"
"7","Mandag","22. juni","Instagram + Facebook","Reel 9:16","KLINIKK","R2 – SICK AT HOME REEL | Shot 1 (0–4s): Hverdagsstue. Person (30-år) i sofa med pledd, rød nese, lommetørkle. Grå filtertone. | Shot 2 (4–8s): Personen tar opp telefonen, velger videokonsultasjon i app. | Shot 3 (8–14s): Telefonskjermen i fullskjerm – FaceTime-samtale med lege (kun legens noteblokk synlig, INGEN identifiserbart ansikt). Lys lysere. | Shot 4 (14–18s): Long shot telefon i hånd. Person smiler lettet. Medisin-ikon + grønn hake som motion graphic. | Shot 5 (18–22s): Neurobelle-logo, mørk bg. Tekst: «Syk hjemme? Vi kommer til deg – digitalt.» | On-screen (Shot 3–4): «Videokonsultasjon – samme dag» | VO: vo-scripts.md → R2 (kaviyan PRO – separat lydfil)","Syk, men orker ikke gå ut? 🤒  Du trenger ikke. Med Neurobelle kan du ringe legen din direkte fra sofaen – same day-tilgjengelighet, digital resept og oppfølging.  Fordi helse ikke bør vente.","✅ Bestill videokonsultasjon: neurobelleklinikk.com/bestill-time"
"8","Tirsdag","23. juni","Instagram + Facebook","Single Photo","KLINIKK","Varm portrettfoto: eldre person (60+) ved kjøkkenvindu, rolig og trygg. Subtil terrakotta ramme. On-image tekst (Playfair Display): «Skjelvinger – ikke ignorer kroppens signaler.» Neurobelle-logo nede til høyre.","Ufrivillige skjelvinger i hender eller armer er noe mange bagatelliserer. Men det kan være kroppens måte å si «ta kontakt» på. 🤝  Skjelvinger kan ha mange årsaker – fra essensiell tremor til nevrologiske tilstander. En tidlig utredning kan gjøre stor forskjell.","📋 Book nevrologisk utredning: neurobelleklinikk.com/bestill-time"
"9","Onsdag","24. juni","Instagram + Facebook","Carousel","AVIDA","S1 [Hook/foto]: Nærbilde blodsukkertest (ingen identifiserbart ansikt). Terrakotta bar: «Blodsukker – hva betyr det egentlig?». | S2 [Info]: «Normalt fastende: 4,0–6,1 mmol/L. Hyperglykemi: kan skyldes diabetes, kosthold, stress. Hypoglykemi: svimmelhet, skjelving, konsentrasjonsvansker.» | S3 [Standout]: Fersken bg. «Blodsukker du ikke kontrollerer, kontrollerer deg.» | S4 [Foto]: Fargerik sunn matfat – grønnsaker, fullkorn, proteiner. | S5 [Løsning]: Mint bg: «✔ Regelmessige måltider ✔ Redusert sukker ✔ Daglig bevegelse ✔ Blodsukkermåling ✔ Medisinsk oppfølging» | S6 [CTA]: Terrakotta. «Usikker på blodsukkeret ditt? Book konsultasjon hos Neurobelle.»","Visste du at mange nordmenn går rundt med for høyt blodsukker – uten å vite det? 🩸  Enkle grep kan utgjøre en enorm forskjell for energinivå, vekt og langsiktig helse.  Sveip for å lære mer 👉","Slide 6: «Bestill time her» → neurobelleklinikk.com/bestill-time"
"10","Torsdag","25. juni","Google Posts","Google Post","KLINIKK","Lege med skjerm i telehealth-setting (illustrativt, ingen identifiserbart ansikt). Varm belysning. Neurobelle-logo.","📱 Online legekonsultasjon – tilgjengelig for alle i Norge  Neurobelle tilbyr videokonsultasjon med erfarne leger. Få svar, råd og digital resept – uten ventetid på legekontor.  Bestill time når det passer deg.","Book på neurobelleklinikk.com/bestill-time"
